reviewId,author_name,rating,reviewTitle,review_text,date,care_type,URL,Property Name,Property Address,City,State,Zip Code,Category
1048052,A Place For Mom Customer,3.0,Jeff has a tour scheduled for Wednesd...,"Jeff has a tour scheduled for Wednesday 6/22 at noon.  Level B care facility, semi private starts at $2500. Private starts at $3000",2012-12-23T16:01:30.000Z,Memory Care,https://www.aplaceformom.com/community/heart-to-heart-assisted-living-151785,Heart to Heart Assisted Living,"12119 San Miguel, San Antonio, TX 78233",san-antonio,texas,78233,care-homes
1436857,Tony ,5.0,,"What our family likes the most about the Stellar Care community is the attentiveness of the staff members who are working there. Based on the experience we have had so far, we would recommend them to other families who are looking for a community for their loved ones. 
",2023-09-28T18:09:55.000Z,Memory Care,https://www.aplaceformom.com/community/stellar-care-139131,Stellar Care,"4518 54th Street, San Diego, CA 92115",san-diego,california,92115,nursing-homes
1417614,Susan,4.0,,"My family and loved one have had a good experience with Adult Family Care Home.  The owner works with the residents, and will occasionally have their partner/owner there when he is not available to be at the community.  The staff are very friendly and accommodating.  We would recommend the community to others for their loved ones. ",2023-04-26T21:45:24.000Z,Residential Care Home,https://www.aplaceformom.com/community/adult-family-care-home-1351245,Adult Family Care Home,"5413 Hayden Blvd, Sarasota, FL 34232",sarasota,florida,34232,care-homes
1449412,Anonymous,4.0,Overall satisfied but a few improvements,"It is very clean and plenty of activities.

There is a disconnect between the staff and getting information to families.

The quality of care can be a concern. My loved one is supposed to get showers 2 times a week and that wasn't happening.

We have put in 2 messages asking for a call back and we haven't received one yet. ",2023-12-08T22:09:53.000Z,Assisted Living,https://www.aplaceformom.com/community/all-american-assisted-living-at-londonderry-1392031,All American Assisted Living at Londonderry,"1 Button Drive, Londonderry, NH 03053",londonderry,new-hampshire,3053,nursing-homes
1296609,Anonymous,2.0,Good but not for all,"The friendliness of the staff members is mixed, very simply this community was very warm and inviting getting us there, everyone was very helpful. It turns out our loved one has a very progressive neurological disease, and unfortunately the care they advertised was not what they promised. Those staff members that were friendly, became rude towards us. The dining room is slow, it takes a long time being seating, a long time to order,and a long time to receive the food you ordered. For a resident with good health it is a good value, probably one of the better ones. If you are not healthy it is not a good value, With the care services and care givers there were some that could not of been better, and others who could of used some improvement.",2020-11-13T16:55:53.000Z,Independent Living,https://www.aplaceformom.com/community/fairwinds-woodward-park-56827,Fairwinds - Woodward Park,"9525 N. Fort Washington Rd., Fresno, CA 93730",fresno,california,93730,nursing-homes
1284458,Anonymous,5.0,"Miramont Pointe, still the right choice for our family after several months of residence","My Mom has lived at Miramont Pointe for about 4 months now as an independent resident. She is very happy, loves the food, loves the care, loves the services, loves the staff, loves the community.  We are very happy with her choice to move there.",2019-06-02T13:46:01.000Z,Memory Care,https://www.aplaceformom.com/community/miramont-pointe-95379,Miramont Pointe,"11520 SE Sunnyside Road, Clackamas, OR 97015",portland,oregon,97015,independent-living
1453451,Anonymous,5.0,,  ,2023-12-21T19:46:14.000Z,Assisted Living,https://www.aplaceformom.com/community/magnolia-springs-louisville-152498,Magnolia Springs Louisville,"8225 Whipps Mill Road, Louisville, KY 40222",louisville,kentucky,40222,nursing-homes
1319635,Anonymous,5.0,Collingswood Nursing & Rehabilitation Center ,There is good overall attention from the staff. My loved one likes the person that does her hair! The communication is very good but they could have been a little more proactive.,2019-07-23T15:48:24.000Z,Nursing Home,https://www.aplaceformom.com/community/collingswood-rehabilitation-and-healthcare-center-78823,Collingswood Rehabilitation and Healthcare Center,"299 Hurley Ave, Rockville, MD 20850",rockville,maryland,20850,nursing-homes
1137976,Anonymous,5.0,Women's assisted living fac...,Women's assisted living facility.,2014-01-24T17:29:35.000Z,Residential Care Home,https://www.aplaceformom.com/community/abuelos-at-la-canada-1332879,Abuelos At La Canada,"1415 W Placita Pingo, Tucson, AZ 85704",tucson,arizona,85704,care-homes
1053150,k moore,5.0,New tenant,It seems as if they keep the people very busy and active.,2015-11-07T02:26:04.000Z,Memory Care,https://www.aplaceformom.com/community/sonata-at-coconut-creek-94904,Sonata at Coconut Creek,"4175 West Sample Rd, Coconut Creek, FL 33073",fort-lauderdale,florida,33073,independent-living
1456368,Jackie,4.0,Recommended ,"My communication with the schedulers has been excellent, with a few glitches that were quickly corrected. When selecting a company, I would ask how caretakers are vetted and compensated to gain an idea of the kinds of candidates they attract. Although 1 or 2 of the caretakers, the younger ones, did not work out for us-too much time on their phones, not enough personal engagement with my husband who is the patient- most have been friendly, helpful and cooperative.  Several are excellent in every way, and have become regulars.  Home health care is very expensive, much more than assisted living, and is not covered by Medicare, except for actual medical services, but Right at Home assures me they will provide a statement outlining the tax deductions allowable. If you can afford it, home health care is far preferable to an assisted living facility.  These are understaffed and poorly regulated and patients' experiences in most of them, according to published reports, is not what anyone would want for a loved one. Overall, ROH has been a godsend for my husband and for me. They are a national franchise. I would recommend them in the Charleston, SC area and hopefully elsewhere. ",2024-01-05T22:04:16.000Z,Home Care,https://www.aplaceformom.com/community/right-at-home-charleston-sc-1409378,"Right at Home - Charleston, SC","884 JOHNNIE DODDS BLVD STE 202, Charleston, SC 29403",charleston,south-carolina,29403,home-care
1024945,Joanna W,4.0,good experience,"The community was very good, but the staff could have been more compassionate.  the one issue we had is they would not send her meds through medicare they had their own pharmacy.  

I would recommend this facility to others.",2020-12-21T17:11:48.000Z,Assisted Living,https://www.aplaceformom.com/community/farmington-hills-inn-86075,Farmington Hills Inn,"30350 West 12 Mile Road, Farmington Hills, MI 48334",livonia,michigan,48334,nursing-homes
1265755,Bev,5.0,Review of Pacifica Senior Living Calaroga Terrace,[Name removed] at the front desk is great. He always gets things done in a timely manner.,2020-06-27T02:10:32.000Z,Independent Living,https://www.aplaceformom.com/community/calaroga-terrace-59949,Calaroga Terrace,"1400 NE 2nd Ave, Portland, OR 97232",vancouver,washington,97232,independent-living
1034676,LR,4.0,Our experience,"The people I talked to on the phone were lovely.  I liked that the tour coordinator followed up with me multiple times, even after we had already found a place, to make sure we were still doing okay and didn't need a place.  The money was good for the size of rooms.  Basically the location just didn’t work out for our family.  
",2021-04-13T20:25:40.000Z,Assisted Living,https://www.aplaceformom.com/community/american-house-brentwood-95394,American House Brentwood,"5436 Edmondson Pike, Nashville, TN 37211",nashville,tennessee,37211,independent-living
